Sentiment, Positive score, Negative score, Article URL
negative, 0.0, 1.0, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150302073000-638.json
positive, 0.89, 0.18, https://www.theguardian.com/global-development/2017/feb/24/major-car-paint-suppliers-join-initiative-against-child-labour-in-mica-mines-ppg-axalta
negative, 0.0, 1.0, https://www.pastemagazine.com/media/jennette-mccurdy/jennette-mccurdy-hard-feelings-podcast
very positive, 0.61, 0.24, https://menafn.com/1107351993/Barry-Callebaut-wants-to-tap-into-vegan-power-Asia-growth
very negative, 0.0, 1.0, https://www.insurancebusinessmag.com/us/opinion/beyond-branding-180869.aspx
positive, 0.74, 0.29, https://www.confectioneryproduction.com/news/38337/nestle-unveils-plans-offering-farmer-payments-tackling-cocoa-sector-child-labour/
very negative, 0.0, 0.99, https://readwrite.com/child-sweatshops-power-the-ai-industry/
positive, 0.58, 0.24, http://www.eco-business.com/news/companies-proactive-on-sustainability-have-competitive-edge/
negative, 0.0, 1.0, https://www.autoguide.com/auto-news/2019/03/amnesty-international-slams-ev-industry-for-unethically-sourced-batteries.html
positive, 0.5, 0.11, https://ipkitten.blogspot.com/2017/11/inta-brand-authenticity-conference.html
negative, 0.0, 1.0, https://www.washingtonexaminer.com/policy/immigration/democrats-gop-want-immigration-court-for-unaccompanied-children
positive, 0.62, 0.3, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150302200000-1986.json
very negative, 0.0, 1.0, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150302181500-2835.json
positive, 0.99, 0.0, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150302113000-1393.json
negative, 0.0, 0.99, https://www.ketr.org/post/finish-fight-paints-different-picture-women-who-pushed-vote
positive, 0.49, 0.16, https://www.nyasatimes.com/malawi-not-left-out-in-environmentally-sustainable-tobacco-production-2/
negative, 0.0, 1.0, https://www.mining.com/web/the-promise-and-risks-of-deep-sea-mining/
very positive, 0.46, 0.24, https://www.reuters.com/business/sustainable-business/nestle-pay-cocoa-growers-keep-children-school-2022-01-27/
negative, 0.0, 0.99, http://news.trust.org/item/20161024230414-3o0ry/
positive, 0.98, 0.0, https://www.foodnavigator.com/Article/2023/10/06/New-agribusiness-backed-digital-tool-designed-to-simplify-sustainability-measurement-and-reporting
very negative, 0.0, 0.99, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150302154500-804.json
negative, 0.0, 1.0, https://www.latimes.com/business/technology/story/2023-10-06/column-taylor-lorenz-on-how-l-a-shaped-the-modern-internet
negative, 0.0, 1.0, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150303141500-74.json
very negative, 0.0, 0.99, https://www.fooddive.com/news/tyson-perdue-under-investigation-over-child-labor-at-slaughterhouses/694624/
negative, 0.0, 1.0, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150303110000-1400.json
very negative, 0.0, 1.0, https://www.taipeitimes.com/News/editorials/archives/2023/10/24/2003808129
very negative, 0.0, 1.0, https://forbes.kz/life/why_the_triangle_shirtwaist_factory_fire_still_burns_hot_today/
negative, 0.0, 0.99, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150302233000-476.json
negative, 0.0, 1.0, https://www.frontpagemag.com/how-democrats-are-supporting-election-interference-daniel-greenfield/
negative, 0.0, 0.99, https://newstalkkzrg.com/2023/09/19/missouris-hawley-presses-tyson-ceo-on-dangerous-child-labor-practices/
very negative, 0.0, 1.0, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150304073000-887.json
negative, 0.0, 0.99, http://www.heraldscotland.com/news/15865634.David_Pratt__The_shame_of_the_UK_Government_s_double_standards_when_it_comes_to_aid_and_big_business/
negative, 0.0, 1.0, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150303111500-643.json
negative, 0.01, 0.97, https://www.yourtango.com/self/man-lectures-fast-food-employee-about-customer-service
negative, 0.01, 0.99, https://blog.wan-ifra.org/2017/02/03/how-can-the-guardian-survive
very negative, 0.0, 0.99, https://www.nrn.com/first-bite/chipotle-trouble-again
negative, 0.0, 0.98, http://www.sltrib.com/home/5347687-155/three-men-probing-ivanka-trump-brands
negative, 0.01, 0.99, https://legalnewsline.com/stories/652106319-company-being-crushed-under-weight-of-feds-child-labor-probe-despite-no-charges
negative, 0.01, 0.98, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150303223000-671.json
negative, 0.0, 0.98, https://www.dawn.com/news/1514389/ilo-stops-using-funds-from-tobacco-firms-for-charitable-causes
negative, 0.0, 0.99, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150303203000-734.json
negative, 0.0, 0.99, http://www.straitstimes.com/world/norway-fund-drops-4-asian-firms
very negative, 0.01, 0.99, https://truthout.org/articles/humanitarian-crisis-in-congo-is-the-sinister-underbelly-of-green-tech/
very negative, 0.0, 1.0, https://geographical.co.uk/culture/tobacco-the-worlds-most-deadly-industry
very negative, 0.0, 1.0, https://www.hindustantimes.com/sex-and-relationships/indonesian-women-s-sexual-abuse-and-rape-threats-in-palm-oil-fields-linked-to-top-beauty-brands/story-BdWsSeac7mC4GfxpbRSF8I.html
very negative, 0.0, 0.99, https://www.southeastasiapost.com/news/269935006/gender-washing-seven-kinds-of-marketing-hypocrisy-about-empowering-women
negative, 0.01, 0.98, https://newrepublic.com/article/176373/gop-pro-child-labor-party
negative, 0.0, 1.0, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150302210000-2244.json
negative, 0.74, 0.29, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150302171500-1009.json
neutral, 0.13, 0.09, https://www.forbes.com/sites/sap/2019/10/25/how-blockchain-is-impacted-by-the-medici-effect/
neutral, 0.01, 0.97, https://www.wardsauto.com/industry-news/gm-targeting-bigger-share-bev-market-ceo-barra-says
neutral, 0.12, 0.14, https://www.thomsonreuters.com/en-us/posts/esg/state-of-corporate-esg-report-2023/
neutral, 0.16, 0.15, https://www.weforum.org/agenda/2019/01/are-we-at-a-turning-point-in-the-fight-against-slavery/
neutral, 0.0, 1.0, https://www.peoplesworld.org/article/organizing-the-congress-three-lawmakers-staffs-go-union/
neutral, 0.04, 0.92, http://www.carsifu.my/news/vw-moves-to-secure-cobalt-supplies-in-shift-to-electric-cars
, 0.05, 0.92, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150304121500-1350.json
, 0.0, 0.98, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150304121500-2059.json
, 0.32, 0.15, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150304190000-849.json
, 0.0, 0.99, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150306153000-1406.json
, 0.12, 0.84, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150306010000-1618.json
, 0.54, 0.23, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150305004500-812.json
, 0.0, 1.0, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150304113000-1117.json
, 0.0, 0.99, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150305131500-2671.json
, 0.02, 0.94, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150304120000-2078.json
, 0.04, 0.94, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150306164500-2256.json
, 0.02, 0.9, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150305183000-2798.json
, 0.0, 0.99, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150305180000-1668.json
, 0.0, 1.0, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150305110000-383.json
, 0.04, 0.88, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150304110000-302.json
, 0.74, 0.29, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150305170000-203.json
, 0.0, 0.99, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150304160000-2068.json
, 0.01, 0.99, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150304131500-1276.json
, 0.0, 1.0, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150306210000-1704.json
, 0.0, 1.0, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150304170000-1131.json
, 0.0, 1.0, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150305104500-1884.json
, 0.01, 0.98, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150304133000-650.json
, 0.06, 0.38, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150304123000-498.json
, 0.04, 0.73, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150306203000-1084.json
, 0.55, 0.15, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150304173000-1679.json
, 0.21, 0.5, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150306010000-1731.json
, 0.02, 0.93, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150304221500-2171.json
, 0.01, 0.99, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150306164500-1883.json
, 0.02, 0.96, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150305053000-1422.json
, 0.13, 0.87, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150305094500-1693.json
, 0.53, 0.26, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150304231500-520.json
, 0.01, 0.95, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150305093000-1074.json
, 0.0, 1.0, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150306154500-1073.json
, 0.01, 0.96, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150305121500-2086.json
, 0.07, 0.87, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_articles/20150305030000-1612.json
, 0.01, 0.98, file:///home/jon/IdeaProjects/AvatarAI/test_files/scraped_artic
